Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,2011-05-29,brw6,b10,10.0,15.0,75.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b12,70.0,0.0,30.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b2,80.0,0.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b4,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b6,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b8,10.0,25.0,65.0,100.0,adoll,
barr,2011,2011-05-29,brw6,d10,40.0,5.0,55.0,100.0,adoll,
barr,2011,2011-05-29,brw6,d12,50.0,5.0,45.0,100.0,adoll,
barr,2011,2011-05-29,brw6,d8,60.0,20.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw6,f10,10.0,5.0,85.0,100.0,adoll,
barr,2011,2011-05-29,brw6,f12,50.0,0.0,50.0,100.0,adoll,
barr,2011,2011-05-29,brw6,h10,20.0,20.0,60.0,100.0,adoll,
barr,2011,2011-05-29,brw6,h12,10.0,10.0,80.0,100.0,adoll,
barr,2011,2011-05-29,brw6,h6,0.0,0.0,100.0,100.0,adoll,
barr,2011,2011-05-29,brw6,h8,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw6,j10,60.0,30.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw6,j12,15.0,20.0,65.0,100.0,adoll,
barr,2011,2011-05-29,brw6,l10,100.0,0.0,0.0,100.0,adoll,
barr,2011,2011-05-29,brw6,l12,40.0,0.0,60.0,100.0,adoll,
barr,2011,2011-05-29,brw3,b10,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,b12,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,b2,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,b4,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,b6,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,b8,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,d10,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,d12,65.0,0.0,35.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,d2,80.0,0.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,d4,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,d6,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,d8,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,f10,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,f12,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,f2,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,f4,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,f6,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,f8,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,h10,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,h12,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,h2,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,h4,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,h6,50.0,0.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,h8,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,j10,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,j12,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,j2,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,j4,70.0,0.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,j6,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,j8,70.0,0.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,l10,80.0,0.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,l12,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,l2,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,l4,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,l6,70.0,0.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw3,l8,70.0,5.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,b10,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,b12,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,b2,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,b4,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,b6,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,b8,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,d10,70.0,0.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,d12,100.0,0.0,0.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,d2,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,d4,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,d6,30.0,0.0,70.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,d8,55.0,0.0,45.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,f10,65.0,0.0,35.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,f12,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,f2,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,f4,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,f6,50.0,0.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,f8,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,h10,70.0,5.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,h12,50.0,0.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,h2,50.0,0.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,h4,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,h6,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,h8,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,j10,70.0,0.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,j12,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,j2,65.0,0.0,35.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,j4,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,j6,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,j8,70.0,5.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,l10,80.0,0.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,l12,95.0,0.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,l2,80.0,0.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,l4,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,l6,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw5,l8,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,b10,90.0,0.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,b12,50.0,30.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,b2,75.0,20.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,b4,50.0,15.0,35.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,b6,35.0,15.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,b8,15.0,40.0,45.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,d10,45.0,5.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,d12,35.0,5.0,60.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,d2,75.0,5.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,d4,45.0,25.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,d6,30.0,10.0,60.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,d8,50.0,5.0,45.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,f10,35.0,35.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,f12,25.0,40.0,35.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,f2,70.0,20.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,f4,70.0,20.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,f6,45.0,5.0,50.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,f8,50.0,10.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,h10,80.0,5.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,h12,80.0,15.0,5.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,h2,75.0,5.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,h4,80.0,10.0,10.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,h6,80.0,5.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,h8,70.0,5.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,j10,75.0,10.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,j12,20.0,15.0,65.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,j2,75.0,5.0,20.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,j4,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,j6,60.0,10.0,30.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,j8,60.0,0.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,l10,45.0,15.0,40.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,l12,20.0,10.0,70.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,l2,40.0,5.0,55.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,l4,75.0,0.0,25.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,l6,85.0,0.0,15.0,100.0,jcunningham,
barr,2011,2011-05-29,brw8,l8,80.0,5.0,15.0,100.0,jcunningham,
barr,2011,2011-05-31,brw3,b10,90.0,5.0,5.0,100.0,abankert,
barr,2011,2011-05-31,brw3,b12,50.0,0.0,50.0,100.0,abankert,
barr,2011,2011-05-31,brw3,b2,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw3,b4,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,b6,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,b8,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,d12,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw3,d2,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,d4,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,d6,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,d8,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,f10,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,f12,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,f2,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,f4,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw3,f6,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,f8,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,h10,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,h12,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,h2,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,h4,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,h6,50.0,0.0,50.0,100.0,abankert,
barr,2011,2011-05-31,brw3,h8,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,j10,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,j12,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw3,j2,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,j4,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,j6,60.0,0.0,40.0,100.0,abankert,
barr,2011,2011-05-31,brw3,j8,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw3,l10,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,l12,80.0,0.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw3,l2,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw3,l4,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw3,l6,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw3,l8,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw6,b10,5.0,20.0,75.0,100.0,abankert,
barr,2011,2011-05-31,brw6,b12,30.0,15.0,55.0,100.0,abankert,
barr,2011,2011-05-31,brw6,b2,50.0,10.0,40.0,100.0,abankert,
barr,2011,2011-05-31,brw6,b4,70.0,0.0,30.0,100.0,abankert,
barr,2011,2011-05-31,brw6,b6,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw6,b8,20.0,10.0,70.0,100.0,abankert,
barr,2011,2011-05-31,brw6,d10,40.0,5.0,55.0,100.0,abankert,
barr,2011,2011-05-31,brw6,d12,30.0,10.0,60.0,100.0,abankert,
barr,2011,2011-05-31,brw6,d2,0.0,5.0,95.0,100.0,abankert,
barr,2011,2011-05-31,brw6,d4,0.0,5.0,95.0,100.0,abankert,
barr,2011,2011-05-31,brw6,d6,80.0,10.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw6,d8,25.0,15.0,60.0,100.0,abankert,
barr,2011,2011-05-31,brw6,f10,15.0,20.0,65.0,100.0,abankert,
barr,2011,2011-05-31,brw6,f12,30.0,5.0,65.0,100.0,abankert,
barr,2011,2011-05-31,brw6,f2,0.0,10.0,90.0,100.0,abankert,
barr,2011,2011-05-31,brw6,f4,0.0,20.0,80.0,100.0,abankert,
barr,2011,2011-05-31,brw6,f6,10.0,10.0,80.0,100.0,abankert,
barr,2011,2011-05-31,brw6,f8,90.0,5.0,5.0,100.0,abankert,
barr,2011,2011-05-31,brw6,h10,25.0,10.0,65.0,100.0,abankert,
barr,2011,2011-05-31,brw6,h12,5.0,10.0,85.0,100.0,abankert,
barr,2011,2011-05-31,brw6,h2,0.0,5.0,95.0,100.0,abankert,
barr,2011,2011-05-31,brw6,h4,0.0,10.0,90.0,100.0,abankert,
barr,2011,2011-05-31,brw6,h6,0.0,5.0,95.0,100.0,abankert,
barr,2011,2011-05-31,brw6,h8,90.0,0.0,10.0,100.0,abankert,
barr,2011,2011-05-31,brw6,j10,30.0,50.0,20.0,100.0,abankert,
barr,2011,2011-05-31,brw6,j12,5.0,20.0,75.0,100.0,abankert,
barr,2011,2011-05-31,brw6,j8,20.0,10.0,70.0,100.0,abankert,
barr,2011,2011-05-31,brw6,l10,100.0,0.0,0.0,100.0,abankert,
barr,2011,2011-05-31,brw6,l12,25.0,5.0,70.0,100.0,abankert,
barr,2011,2011-05-31,brw6,l8,0.0,15.0,85.0,100.0,abankert,
barr,2011,2011-05-31,brw8,b10,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-31,brw8,b12,40.0,40.0,20.0,100.0,adoll,
barr,2011,2011-05-31,brw8,b2,75.0,20.0,5.0,100.0,adoll,
barr,2011,2011-05-31,brw8,b4,50.0,20.0,30.0,100.0,adoll,
barr,2011,2011-05-31,brw8,b6,20.0,5.0,75.0,100.0,adoll,
barr,2011,2011-05-31,brw8,b8,20.0,10.0,70.0,100.0,adoll,
barr,2011,2011-05-31,brw8,d10,20.0,5.0,75.0,100.0,adoll,
barr,2011,2011-05-31,brw8,d12,10.0,5.0,85.0,100.0,adoll,
barr,2011,2011-05-31,brw8,d2,75.0,15.0,10.0,100.0,adoll,
barr,2011,2011-05-31,brw8,d4,40.0,30.0,30.0,100.0,adoll,
barr,2011,2011-05-31,brw8,d6,10.0,10.0,80.0,100.0,adoll,
barr,2011,2011-05-31,brw8,d8,30.0,10.0,60.0,100.0,adoll,
barr,2011,2011-05-31,brw8,f10,30.0,40.0,30.0,100.0,adoll,
barr,2011,2011-05-31,brw8,f12,15.0,65.0,20.0,100.0,adoll,
barr,2011,2011-05-31,brw8,f2,60.0,20.0,20.0,100.0,adoll,
barr,2011,2011-05-31,brw8,f4,70.0,20.0,10.0,100.0,adoll,
barr,2011,2011-05-31,brw8,f6,20.0,10.0,70.0,100.0,adoll,
barr,2011,2011-05-31,brw8,f8,35.0,10.0,55.0,100.0,adoll,
barr,2011,2011-05-31,brw8,h10,80.0,10.0,10.0,100.0,adoll,
barr,2011,2011-05-31,brw8,h12,40.0,40.0,20.0,100.0,adoll,
barr,2011,2011-05-31,brw8,h2,30.0,40.0,30.0,100.0,adoll,
barr,2011,2011-05-31,brw8,h4,40.0,50.0,10.0,100.0,adoll,
barr,2011,2011-05-31,brw8,h6,75.0,20.0,5.0,100.0,adoll,
barr,2011,2011-05-31,brw8,h8,70.0,10.0,20.0,100.0,adoll,
barr,2011,2011-05-31,brw8,j10,40.0,20.0,40.0,100.0,adoll,
barr,2011,2011-05-31,brw8,j12,15.0,10.0,75.0,100.0,adoll,
barr,2011,2011-05-31,brw8,j2,70.0,20.0,10.0,100.0,adoll,
barr,2011,2011-05-31,brw8,j4,40.0,15.0,45.0,100.0,adoll,
barr,2011,2011-05-31,brw8,j6,60.0,15.0,25.0,100.0,adoll,
barr,2011,2011-05-31,brw8,j8,35.0,30.0,35.0,100.0,adoll,
barr,2011,2011-05-31,brw8,l10,25.0,25.0,50.0,100.0,adoll,
barr,2011,2011-05-31,brw8,l12,10.0,10.0,80.0,100.0,adoll,
barr,2011,2011-05-31,brw8,l2,10.0,50.0,40.0,100.0,adoll,
barr,2011,2011-05-31,brw8,l4,70.0,0.0,30.0,100.0,adoll,
barr,2011,2011-05-31,brw8,l6,80.0,5.0,15.0,100.0,adoll,
barr,2011,2011-05-31,brw8,l8,70.0,10.0,20.0,100.0,adoll,
barr,2011,2011-05-31,brw2,b10,70.0,0.0,30.0,100.0,bhill,
barr,2011,2011-05-31,brw2,b12,85.0,0.0,15.0,100.0,bhill,
barr,2011,2011-05-31,brw2,b2,15.0,0.0,85.0,100.0,bhill,
barr,2011,2011-05-31,brw2,b4,25.0,0.0,75.0,100.0,bhill,
barr,2011,2011-05-31,brw2,b6,20.0,0.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,b8,15.0,5.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,d10,30.0,10.0,60.0,100.0,bhill,
barr,2011,2011-05-31,brw2,d12,20.0,15.0,65.0,100.0,bhill,
barr,2011,2011-05-31,brw2,d2,5.0,5.0,90.0,100.0,bhill,
barr,2011,2011-05-31,brw2,d4,10.0,5.0,85.0,100.0,bhill,
barr,2011,2011-05-31,brw2,d6,10.0,10.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,d8,10.0,5.0,85.0,100.0,bhill,
barr,2011,2011-05-31,brw2,f10,20.0,15.0,65.0,100.0,bhill,
barr,2011,2011-05-31,brw2,f12,50.0,0.0,50.0,100.0,bhill,
barr,2011,2011-05-31,brw2,f2,10.0,0.0,90.0,100.0,bhill,
barr,2011,2011-05-31,brw2,f4,15.0,5.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,f6,25.0,5.0,70.0,100.0,bhill,
barr,2011,2011-05-31,brw2,f8,10.0,10.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,h10,45.0,5.0,50.0,100.0,bhill,
barr,2011,2011-05-31,brw2,h12,85.0,0.0,15.0,100.0,bhill,
barr,2011,2011-05-31,brw2,h2,15.0,5.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,h4,45.0,5.0,50.0,100.0,bhill,
barr,2011,2011-05-31,brw2,h6,5.0,10.0,85.0,100.0,bhill,
barr,2011,2011-05-31,brw2,h8,5.0,15.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,j10,30.0,40.0,30.0,100.0,bhill,
barr,2011,2011-05-31,brw2,j12,60.0,0.0,40.0,100.0,bhill,
barr,2011,2011-05-31,brw2,j2,20.0,10.0,70.0,100.0,bhill,
barr,2011,2011-05-31,brw2,j4,10.0,5.0,85.0,100.0,bhill,
barr,2011,2011-05-31,brw2,j6,10.0,10.0,80.0,100.0,bhill,
barr,2011,2011-05-31,brw2,j8,40.0,0.0,60.0,100.0,bhill,
barr,2011,2011-05-31,brw2,l10,30.0,40.0,30.0,100.0,bhill,
barr,2011,2011-05-31,brw2,l12,25.0,20.0,55.0,100.0,bhill,
barr,2011,2011-05-31,brw2,l2,50.0,5.0,45.0,100.0,bhill,
